"REF_DATE","GEO","DGUID","Sector","Fare type group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-04","Canada","2016A000011124","Domestic and international","Business class","Dollars","81","units ","0","v53508618","1.1.2","2947.60","E","","t","2"
"2008-04","Canada","2016A000011124","Domestic and international","Economy","Dollars","81","units ","0","v53508619","1.1.3","297.40","","","t","2"
"2008-04","Canada","2016A000011124","Domestic and international","Discounted","Dollars","81","units ","0","v53508620","1.1.4","253.10","","","t","2"
"2008-04","Canada","2016A000011124","Domestic and international","Other fares","Dollars","81","units ","0","v53508621","1.1.5","","F","","t","2"
"2008-04","Canada","2016A000011124","Domestic","All fare groups","Dollars","81","units ","0","v53508622","1.2.1","199.80","","","","2"
"2008-04","Canada","2016A000011124","Domestic","Business class","Dollars","81","units ","0","v53508623","1.2.2","1623.10","E","","t","2"
"2008-04","Canada","2016A000011124","Domestic","Economy","Dollars","81","units ","0","v53508624","1.2.3","289.90","","","t","2"
"2008-04","Canada","2016A000011124","Domestic","Discounted","Dollars","81","units ","0","v53508625","1.2.4","196.40","","","t","2"
"2008-04","Canada","2016A000011124","Domestic","Other fares","Dollars","81","units ","0","v53508626","1.2.5","31.80","E","","t","2"
"2008-04","Canada","2016A000011124","Short-haul","All fare groups","Dollars","81","units ","0","v53508627","1.3.1","145.60","","","","2"
"2008-04","Canada","2016A000011124","Short-haul","Business class","Dollars","81","units ","0","v53508628","1.3.2","","F","","t","2"
"2008-04","Canada","2016A000011124","Short-haul","Economy","Dollars","81","units ","0","v53508629","1.3.3","215.30","","","t","2"
"2008-04","Canada","2016A000011124","Short-haul","Discounted","Dollars","81","units ","0","v53508630","1.3.4","143.20","","","t","2"
"2008-04","Canada","2016A000011124","Short-haul","Other fares","Dollars","81","units ","0","v53508631","1.3.5","","F","","t","2"
"2008-04","Canada","2016A000011124","Long-haul","All fare groups","Dollars","81","units ","0","v53508632","1.4.1","","x","","","2"
"2008-04","Canada","2016A000011124","Long-haul","Business class","Dollars","81","units ","0","v53508633","1.4.2","","x","","t","2"
"2008-04","Canada","2016A000011124","Long-haul","Economy","Dollars","81","units ","0","v53508634","1.4.3","","x","","t","2"
